tên hàng hóa,danh mục,kết quả mong muốn
Giấy vệ sinh,"[Xà phòng, dầu rửa bát, giấy vs, giấy lau bếp, giẻ lau, nước rửa chén]",Giấy vs
Nước rửa chén Sunlight,"[Bột giặt, nước xả vải, nước rửa chén, nước lau sàn, cọ xoong]",Nước rửa chén
BVS Kotex hàng ngày,"[Bỉm người lớn, băng vệ sinh, tã dán, tampon, bỉm quần]",Băng vệ sinh
Sữa tắm Lifebuoy,"[Dầu gội, sữa tắm, sữa rửa mặt, kem đánh răng, xà phòng cục]",Sữa tắm
Dầu gội Clear Men,"[Sữa tắm, dầu xả, dầu gội, kem ủ tóc, gel vuốt tóc]",Dầu gội
Kem đánh răng PS,"[Bàn chải, kem đánh răng, nước súc miệng, chỉ nha khoa, tăm nước]",Kem đánh răng
Bột giặt Omo,"[Nước giặt, bột giặt, nước xả, tẩy quần áo, giấy thơm]",Bột giặt
Nước xả vải Comfort,"[Nước giặt, bột giặt, nước xả vải, viên giặt, xả khô]",Nước xả vải
Bỉm Merries size L,"[Tã dán, bỉm quần, miếng lót sơ sinh, tã người già, khăn ướt]",Bỉm quần
Sữa tươi Vinamilk không đường,"[Sữa đặc, sữa tươi, sữa chua, váng sữa, phô mai]",Sữa tươi
Mì tôm Hảo Hảo,"[Miến, phở, mì gói, hủ tiếu, bánh đa]",Mì gói
Dầu ăn Simply,"[Dầu oliu, dầu đậu nành, dầu hướng dương, mỡ lợn, bơ thực vật]",Dầu đậu nành
Nước mắm Nam Ngư,"[Nước tương, nước mắm, tương ớt, tương cà, dầu hào]",Nước mắm
Hạt nêm Knorr,"[Muối, đường, bột ngọt, hạt nêm, tiêu]",Hạt nêm
Bánh Chocopie,"[Bánh quy, bánh gạo, bánh chocopie, kẹo dẻo, socola]",Bánh chocopie
Tương ớt Chinsu,"[Tương cà, tương ớt, mayonnaise, tương đen, sa tế]",Tương ớt
Cà phê G7,"[Trà túi lọc, cà phê hòa tan, cà phê phin, cacao, ngũ cốc]",Cà phê hòa tan
Trà Lipton túi lọc,"[Trà xanh, trà đen, trà túi lọc, trà hoa cúc, trà gừng]",Trà túi lọc
Bia Heineken,"[Bia lon, bia chai, rượu vang, rượu trắng, nước ngọt]",Bia lon
Nước ngọt Coca Cola,"[Nước cam, nước chanh, coca cola, pepsi, 7up]",Coca cola
Khăn giấy Pulppy,"[Giấy vệ sinh, khăn giấy hộp, khăn giấy ướt, khăn giấy bỏ túi, giấy ăn]",Khăn giấy hộp
Xúc xích Vissan,"[Xúc xích, lạp xưởng, chả lụa, giò thủ, nem chua]",Xúc xích
Sữa chua Vinamilk có đường,"[Sữa chua uống, sữa chua có đường, sữa chua không đường, sữa chua Hy Lạp, kefir]",Sữa chua có đường
