query,expected,adaptive_lexical_pred,adaptive_lexical_score,adaptive_lexical_correct,adaptive_lexical_specificity,adaptive_lexical_overlap,adaptive_semantic_pred,adaptive_semantic_score,adaptive_semantic_correct,adaptive_semantic_specificity,adaptive_semantic_overlap
Giấy vệ sinh,Giấy vs,giấy vs,0.059347618371248245,True,1.791759469228055,1,giấy vs,0.059347353875637054,True,1.791759469228055,1
Nước rửa chén Sunlight,Nước rửa chén,nước rửa chén,0.5402112007141113,True,1.6094379124341003,3,nước rửa chén,0.5402112007141113,True,1.6094379124341003,3
BVS Kotex hàng ngày,Băng vệ sinh,Bỉm người lớn,0.0,False,0.0,0,bỉm quần,0.09771019220352173,False,1.6094379124341003,0
Sữa tắm Lifebuoy,Sữa tắm,sữa tắm,0.37431126832962036,True,1.6094379124341003,2,sữa tắm,0.37431126832962036,True,1.6094379124341003,2
Dầu gội Clear Men,Dầu gội,dầu gội,0.29288220405578613,True,1.6094379124341003,2,dầu gội,0.29288220405578613,True,1.6094379124341003,2
Kem đánh răng PS,Kem đánh răng,kem đánh răng,0.34308910369873047,True,1.6094379124341003,3,kem đánh răng,0.34308910369873047,True,1.6094379124341003,3
Bột giặt Omo,Bột giặt,bột giặt,0.68804931640625,True,1.6094379124341003,2,bột giặt,0.68804931640625,True,1.6094379124341003,2
Nước xả vải Comfort,Nước xả vải,nước xả vải,0.7511473894119263,True,1.6094379124341003,3,nước xả vải,0.7511473894119263,True,1.6094379124341003,3
Bỉm Merries size L,Bỉm quần,bỉm quần,0.06853567808866501,True,1.6094379124341003,1,bỉm quần,0.06853663921356201,True,1.6094379124341003,1
Sữa tươi Vinamilk không đường,Sữa tươi,sữa tươi,0.08945959061384201,True,1.6094379124341003,2,sữa tươi,0.08945959061384201,True,1.6094379124341003,2
Mì tôm Hảo Hảo,Mì gói,mì gói,0.04106777161359787,True,1.6094379124341003,1,mì gói,0.041068192571401596,True,1.6094379124341003,1
Dầu ăn Simply,Dầu đậu nành,Dầu oliu,0.09256600588560104,False,1.6094379124341003,1,mỡ lợn,0.10243642330169678,False,1.6094379124341003,0
Nước mắm Nam Ngư,Nước mắm,nước mắm,0.37581250071525574,True,1.6094379124341003,2,nước mắm,0.37581250071525574,True,1.6094379124341003,2
Hạt nêm Knorr,Hạt nêm,hạt nêm,0.5245944857597351,True,1.6094379124341003,2,hạt nêm,0.5245944857597351,True,1.6094379124341003,2
Bánh Chocopie,Bánh chocopie,bánh chocopie,0.9742135405540466,True,1.6094379124341003,2,bánh chocopie,0.9742135405540466,True,1.6094379124341003,2
Tương ớt Chinsu,Tương ớt,tương ớt,0.2770080268383026,True,1.6094379124341003,2,tương ớt,0.2770080268383026,True,1.6094379124341003,2
Cà phê G7,Cà phê hòa tan,cà phê phin,0.07580304890871048,False,1.6094379124341003,2,cà phê phin,0.07580304890871048,False,1.6094379124341003,2
Trà Lipton túi lọc,Trà túi lọc,trà túi lọc,0.680357813835144,True,1.6094379124341003,3,trà túi lọc,0.680357813835144,True,1.6094379124341003,3
Bia Heineken,Bia lon,bia chai,0.26272377371788025,False,1.6094379124341003,1,bia chai,0.2627352476119995,False,1.6094379124341003,1
Nước ngọt Coca Cola,Coca cola,coca cola,0.3625142276287079,True,1.6094379124341003,2,coca cola,0.3625186085700989,True,1.6094379124341003,2
Khăn giấy Pulppy,Khăn giấy hộp,khăn giấy ướt,0.1484283059835434,False,1.6094379124341003,2,khăn giấy ướt,0.1484283059835434,False,1.6094379124341003,2
Xúc xích Vissan,Xúc xích,Xúc xích,0.2539307475090027,True,1.6094379124341003,2,Xúc xích,0.2539307475090027,True,1.6094379124341003,2
Sữa chua Vinamilk có đường,Sữa chua có đường,sữa chua có đường,0.7435930371284485,True,1.6094379124341003,4,sữa chua có đường,0.7435925006866455,True,1.6094379124341003,4
Phô mai Con Bò Cười,Phô mai Con Bò Cười,phô mai Con Bò Cười,0.9841994047164917,True,1.6094379124341003,5,phô mai Con Bò Cười,0.9841994047164917,True,1.6094379124341003,5
Bánh mì tươi Kinh Đô,Bánh mì tươi,bánh mì tươi,0.5095760822296143,True,1.6094379124341003,3,bánh mì tươi,0.5095760822296143,True,1.6094379124341003,3
Gạo ST25,Gạo ST25,gạo ST25,0.9607922434806824,True,1.6094379124341003,2,gạo ST25,0.9607922434806824,True,1.6094379124341003,2
Trứng gà ta,Trứng gà ta,trứng gà ta,0.9124765992164612,True,1.6094379124341003,3,trứng gà ta,0.9124765992164612,True,1.6094379124341003,3
