tên hàng hóa,danh mục,kết quả mong muốn
"Deal hời 1 lốc giấy vs Puppi 3 lớp dai mịn, dùng cho da nhạy cảm, GVS cao cấp","[Hàng tiêu dùng nhanh, Tạp hóa online, Đồ dùng gia đình, Sản phẩm từ giấy, Tã bỉm & Giấy, Khăn giấy hộp, Khăn ướt, Giấy ăn, Household, Paper Products, Vệ sinh nhà cửa & giặt giũ, Chăm sóc cá nhân, Đồ dùng phòng tắm, Giấy cuộn, Giấy vệ sinh, gvs, Khăn lau bếp đa năng, Nước rửa tay, Xà phòng, Giấy, Hàng nhập khẩu, Giấy lụa, Sản phẩm khuyến mãi, Đồ dùng 1 lần, vệ sinh cá nhân, personal care, FMCG, Giấy đi vệ sinh]",Giấy vệ sinh
"Nước rửa chén (bát) Sunlight chanh 1.5kg, sạch dầu mỡ, khử mùi tanh hiệu quả","[Hóa mỹ phẩm, Sản phẩm tẩy rửa, Đồ dùng nhà bếp, Nước rửa bát, Xà phòng, Chất tẩy rửa công nghiệp, Sunlight, Nước lau sàn, Giấy vệ sinh, Giẻ lau, Tạp hóa, Home Care, Kitchen Supplies, Vệ sinh bếp, Nước rửa chén, Chất hoạt động bề mặt, Hàng gia dụng, Hóa phẩm, Hóa chất, Đồ dùng vệ sinh, Đồ dùng một lần, Sản phẩm cho nhà hàng]",Nước rửa chén
Tã quần Moony Natural size L - 56 miếng (cho bé 9-14kg) siêu mềm thoáng khí,"[Mẹ và Bé, Tã-bỉm em bé, Đồ dùng cho bé, Tã dán sơ sinh, Bỉm người lớn tuổi, Merries, Bobby, Huggies, Bỉm Moony, Sản phẩm mẹ và bé, Tã trẻ em, Baby Care, Diapers, Tã quần, Bỉm Nhật, Đồ sơ sinh, Chăm sóc bé yêu, Tã giấy, Bỉm chống hăm, Khăn ướt em bé, Sản phẩm cho trẻ em, bỉm em bé]",Tã quần
"Combo 4 hộp sữa tươi tiệt trùng Vinamilk Green Farm 180ml ít đường, sữa từ nông trại xanh","[Sữa & các sản phẩm từ sữa, Sữa đặc, Sữa chua ăn, Đồ uống dinh dưỡng, Sữa bột công thức, Sữa bịch, Sữa hộp giấy, Sữa tươi, Thực phẩm đóng gói, Vinamilk, Sữa đậu nành, Sữa hạt, Dairy, Fresh Milk, Đồ uống, Nước giải khát, Sữa thanh trùng, Sữa tiệt trùng, Sữa lúa mạch, Sữa cho người lớn, Bơ sữa phô mai, Sữa chua uống]",Sữa tươi
"Thùng 30 gói mì ăn liền Hảo Hảo tôm chua cay 75g, mì quốc dân siêu ngon","[Thực phẩm khô & Đồ hộp, Mì ăn liền, Mì ly, Phở gói, Đồ ăn nhanh, Thực phẩm khô, Mì gói, Hảo Hảo, Acecook, Tạp hóa online, Mì chính, Gia vị nêm sẵn, Instant Noodle, Đồ ăn liền, Lương thực, Mì xào, Mì nước, Hủ tiếu gói, Cháo ăn liền, Đồ hộp, Miến, Mì không chiên]",Mì gói
Chai dầu gội Clear Men Cool Sport bạc hà 630g sạch gàu a-ti-cê,"[Chăm sóc cá nhân, Sữa tắm & Chăm sóc cơ thể, Dầu xả, Chăm sóc tóc chuyên sâu, Mỹ phẩm cho nam, Dầu gội, Clear, Head & Shoulders, Romano, Sản phẩm cho nam, Dầu gội trị gàu, Hair Care, Shampoo, Men's Grooming, Dầu gội nam, Dầu gội bạc hà, Sản phẩm trị gàu, Dầu gội đầu, Dầu gội 2 trong 1, Gel vuốt tóc]",Dầu gội
"Kem đánh răng Colgate Total sạch toàn diện 150g, kem oánh răng ngừa sâu răng","[Sức khỏe & Sắc đẹp, Chăm sóc răng miệng, Chỉ nha khoa, Nước súc miệng, Bàn chải điện, Bàn chải, Colgate, P/S, Đồ dùng cá nhân, Oral-B, Kem đánh răng, Toothpaste, Dental Care, Kem đánh răng trắng răng, Kem đánh răng cho răng nhạy cảm, Bột trắng răng, KĐR, Sản phẩm nha khoa, Vệ sinh miệng, Bàn chải kẽ]",Kem đánh răng
"Tương ớt cay nồng Chinsu 250g, đồ chấm thần thánh cho mọi món ăn","[Gia vị & Nấu ăn, Nước mắm, Dầu ăn, Nước tương, Tương cà, Tương ớt, Hạt nêm, Bột ngọt, Chinsu, Masan, Gia vị hoàn chỉnh, Sốt & Gia vị, Condiments, Chili Sauce, Đồ chấm, Gia vị nêm, Tương đen, Sa tế, Muối tiêu, Gia vị lẩu]",Tương ớt
"Áo thun nam Cotton Compact Premium form regular yaa-me, con áo phông basic quốc dân","[Thời trang nam, Áo phông, Thời trang nam giới, Áo polo nam, Quần jeans, Áo sơ mi, T-shirt, Áo thun, Uniqlo, Quần áo, H&M, Local Brand, Áo cộc tay, Men's Fashion, Basic Tee, Áo trơn, Áo in hình, Quần áo hè, Thời trang thường ngày, Áo oversize, Áo thể thao nam, yaame]",Áo thun
"Điện thoại di động iPhone 15 Pro Max 256GB màu Titan Tự Nhiên, hàng chính hãng VN/A","[Điện tử & Thiết bị số, Smartphone, Điện thoại Samsung, Phụ kiện điện thoại, Điện thoại cũ, Apple, iPhone 15, Điện thoại, Máy tính bảng, Đồ công nghệ, iPhone, Mobile Phone, Thiết bị thông minh, Flagship, iOS, Điện thoại cao cấp, Điện thoại chụp ảnh đẹp, iphone prm, dth, Apple Store]",iPhone
