query,expected,adaptive_lexical_pred,adaptive_lexical_score,adaptive_lexical_correct,adaptive_lexical_specificity,adaptive_lexical_overlap,adaptive_semantic_pred,adaptive_semantic_score,adaptive_semantic_correct,adaptive_semantic_specificity,adaptive_semantic_overlap
"Deal hời 1 lốc giấy vs Puppi 3 lớp dai mịn, dùng cho da nhạy cảm, GVS cao cấp",Giấy vệ sinh,Giấy,0.13046759366989136,False,1.1349799328389845,1,Giấy,0.13046567142009735,False,1.1349799328389845,1
"Nước rửa chén (bát) Sunlight chanh 1.5kg, sạch dầu mỡ, khử mùi tanh hiệu quả",Nước rửa chén,Nước rửa chén,0.6503998041152954,True,3.0910424533583156,3,Nước rửa chén,0.6503998041152954,True,3.0910424533583156,3
Tã quần Moony Natural size L - 56 miếng (cho bé 9-14kg) siêu mềm thoáng khí,Tã quần,Tã quần,0.4335741400718689,True,3.0910424533583156,2,Tã quần,0.4335741400718689,True,3.0910424533583156,2
"Combo 4 hộp sữa tươi tiệt trùng Vinamilk Green Farm 180ml ít đường, sữa từ nông trại xanh",Sữa tươi,Vinamilk,0.1259443759918213,False,3.0910424533583156,1,Vinamilk,0.12594333291053772,False,3.0910424533583156,1
"Thùng 30 gói mì ăn liền Hảo Hảo tôm chua cay 75g, mì quốc dân siêu ngon",Mì gói,Hảo Hảo,0.20398998260498047,False,3.0910424533583156,1,Hảo Hảo,0.20398983359336853,False,3.0910424533583156,1
Chai dầu gội Clear Men Cool Sport bạc hà 630g sạch gàu a-ti-cê,Dầu gội,Dầu gội bạc hà,0.3122884929180145,False,2.995732273553991,4,Dầu gội bạc hà,0.31228870153427124,False,2.995732273553991,4
"Kem đánh răng Colgate Total sạch toàn diện 150g, kem oánh răng ngừa sâu răng",Kem đánh răng,Kem đánh răng,0.1663360446691513,True,1.8971199848858813,3,Kem đánh răng,0.1663360446691513,True,1.8971199848858813,3
"Tương ớt cay nồng Chinsu 250g, đồ chấm thần thánh cho mọi món ăn",Tương ớt,Tương ớt,0.262030690908432,True,2.995732273553991,2,Tương ớt,0.262030690908432,True,2.995732273553991,2
"Áo thun nam Cotton Compact Premium form regular yaa-me, con áo phông basic quốc dân",Áo thun,Áo thun,0.44990456104278564,True,3.0910424533583156,2,Áo thun,0.44990456104278564,True,3.0910424533583156,2
"Điện thoại di động iPhone 15 Pro Max 256GB màu Titan Tự Nhiên, hàng chính hãng VN/A",iPhone,Điện thoại,0.06843723356723785,False,1.2039728043259361,2,Điện thoại,0.06843723356723785,False,1.2039728043259361,2
"Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/OfficeHS/Win11, máy tính xách tay văn phòng",Laptop,Laptop,0.12356573343276978,True,0.9985288301111273,1,Laptop,0.12356573343276978,True,0.9985288301111273,1
