query,expected,adaptive_lexical_pred,adaptive_lexical_score,adaptive_lexical_correct,adaptive_lexical_specificity,adaptive_lexical_overlap,adaptive_semantic_pred,adaptive_semantic_score,adaptive_semantic_correct,adaptive_semantic_specificity,adaptive_semantic_overlap,adaptive_bm25_pred,adaptive_bm25_score,adaptive_bm25_correct,adaptive_bm25_specificity,adaptive_bm25_overlap,optimized_bm25_pred,optimized_bm25_score,optimized_bm25_correct,optimized_bm25_bm25_score,optimized_bm25_overlap
iPhone 15 Pro Max 256GB Titan Tự Nhiên VNA,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.09417016804218292,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Samsung Galaxy S24 Ultra 5G 12GB/256GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Máy tính bảng,0.029761817306280136,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Xiaomi Redmi Note 13 Pro 8GB/128GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Máy tính bảng,0.02789979614317417,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
OPPO Reno10 5G 256GB Xanh Băng Tuyết,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.06360026448965073,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Realme C55 6GB/128GB Chính Hãng,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.05998077243566513,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Vivo V29e 5G 8GB/256GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Balo Laptop,0.03559836372733116,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Nokia 105 4G Pro 2 Sim,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thiết bị mạng & Wifi,0.03613598644733429,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Asus ROG Phone 7 Ultimate Gaming Phone,Điện thoại Smartphone,Laptop Gaming,0.036614008247852325,False,4.736198448394496,1,Laptop Gaming,0.036613840609788895,False,4.736198448394496,1,Laptop Gaming,0.036614008247852325,False,4.736198448394496,1,Laptop Gaming,0.036614008247852325,False,5.186146173340856,1
Google Pixel 7 Pro 128GB Quốc Tế,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.06871973723173141,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Samsung Galaxy Z Flip5 512GB,Điện thoại Smartphone,Điện thoại Smartphone,0.0,True,0.0,0,Thẻ nhớ & USB,0.042768560349941254,False,4.736198448394496,0,Điện thoại Smartphone,0.0,True,0.0,0,Điện thoại Smartphone,0.0,True,0.0,0
Laptop Dell Vostro 3510 i5-1135G7,Laptop văn phòng,Laptop văn phòng,0.05367502197623253,True,4.736198448394496,1,Laptop văn phòng,0.05367505922913551,True,4.736198448394496,1,Laptop văn phòng,0.05367502197623253,True,4.736198448394496,1,Laptop văn phòng,0.05367502197623253,True,3.5452275377731155,1
MacBook Air M1 2020 8GB/256GB Gold,Laptop văn phòng,Điện thoại Smartphone,0.0,False,0.0,0,Balo Laptop,0.022747322916984558,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Laptop HP Pavilion 15 i5-1240P,Laptop văn phòng,Laptop văn phòng,0.043524205684661865,True,4.736198448394496,1,Laptop văn phòng,0.04352515935897827,True,4.736198448394496,1,Laptop văn phòng,0.043524205684661865,True,4.736198448394496,1,Laptop văn phòng,0.043524205684661865,True,3.5452275377731155,1
Asus Zenbook 14 OLED UX3402,Laptop văn phòng,Điện thoại Smartphone,0.0,False,0.0,0,Máy tính bảng,0.03423606976866722,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Lenovo ThinkBook 14 G3 ACL,Laptop văn phòng,Điện thoại Smartphone,0.0,False,0.0,0,Laptop văn phòng,0.05076082423329353,True,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Laptop Gaming MSI GF63 Thin 11SC,Laptop Gaming,Laptop Gaming,0.07337944954633713,True,4.736198448394496,2,Laptop Gaming,0.07337944954633713,True,4.736198448394496,2,Laptop Gaming,0.07337906211614609,True,4.736198448394496,2,Laptop Gaming,0.07337906211614609,True,9.335292597674693,2
Laptop Acer Nitro 5 Tiger i5-12500H,Laptop Gaming,Laptop văn phòng,0.032418642193078995,False,4.736198448394496,1,Laptop văn phòng,0.03241870552301407,False,4.736198448394496,1,Laptop văn phòng,0.032418642193078995,False,4.736198448394496,1,Laptop văn phòng,0.032418642193078995,False,3.5452275377731155,1
Asus TUF Gaming F15 FX506HF,Laptop Gaming,Laptop Gaming,0.022071244195103645,True,4.736198448394496,1,Thẻ nhớ & USB,0.05455983802676201,False,4.736198448394496,0,Laptop Gaming,0.022071244195103645,True,4.736198448394496,1,Laptop Gaming,0.022071244195103645,True,5.186146173340856,1
Lenovo Legion 5 15IAH7H,Laptop Gaming,Điện thoại Smartphone,0.0,False,0.0,0,Laptop văn phòng,0.03764853999018669,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Dell G15 5511 Gaming Laptop,Laptop Gaming,Laptop Gaming,0.032756347209215164,True,4.736198448394496,2,Laptop Gaming,0.03275585547089577,True,4.736198448394496,2,Laptop Gaming,0.032756347209215164,True,4.736198448394496,2,Laptop Gaming,0.032756347209215164,True,9.335292597674693,2
iPad Gen 9 10.2 inch WiFi 64GB,Máy tính bảng,Thiết bị mạng & Wifi,0.04003697261214256,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04003650322556496,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04003697261214256,False,4.736198448394496,1,Thiết bị mạng & Wifi,0.04003697261214256,False,3.868254910468356,1
Samsung Galaxy Tab S9 Ultra,Máy tính bảng,Điện thoại Smartphone,0.0,False,0.0,0,Máy tính bảng,0.024214325472712517,True,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
Xiaomi Pad 6 8GB/128GB,Máy tính bảng,Điện thoại Smartphone,0.0,False,0.0,0,Thẻ nhớ & USB,0.035069432109594345,False,4.736198448394496,0,Điện thoại Smartphone,0.0,False,0.0,0,Điện thoại Smartphone,0.0,False,0.0,0
